case_id,family,invalid,original_binding_status,original_claim_status,original_rules
absent_gene-0,absent_gene,True,ASSESSED,ASSESSED,BFA-001c
absent_gene-1,absent_gene,True,ASSESSED,ASSESSED,BFA-001c
absent_gene-2,absent_gene,True,ASSESSED,ASSESSED,BFA-001c
causal_overclaim-0,causal_overclaim,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
causal_overclaim-1,causal_overclaim,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
causal_overclaim-2,causal_overclaim,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
changed_result-0,changed_result,True,ASSESSED,ASSESSED,BFA-001c
changed_result-1,changed_result,True,ASSESSED,ASSESSED,BFA-001c
changed_result-2,changed_result,True,ASSESSED,ASSESSED,BFA-001c
clinical_overclaim-0,clinical_overclaim,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
clinical_overclaim-1,clinical_overclaim,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
clinical_overclaim-2,clinical_overclaim,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
failed_fit-0,failed_fit,True,ASSESSED,ASSESSED,BFA-001c
failed_fit-1,failed_fit,True,ASSESSED,ASSESSED,BFA-001c
failed_fit-2,failed_fit,True,ASSESSED,ASSESSED,BFA-001c
false_global_null-0,false_global_null,True,ASSESSED,ASSESSED,BFA-001c
false_global_null-1,false_global_null,True,ASSESSED,ASSESSED,BFA-001c
false_global_null-2,false_global_null,True,ASSESSED,ASSESSED,BFA-001c
false_negative-0,false_negative,True,ASSESSED,ASSESSED,BFA-001c
false_negative-1,false_negative,True,ASSESSED,ASSESSED,BFA-001c
false_negative-2,false_negative,True,ASSESSED,ASSESSED,BFA-001c
false_significance-0,false_significance,True,ASSESSED,ASSESSED,BFA-001c
false_significance-1,false_significance,True,ASSESSED,ASSESSED,BFA-001c
false_significance-2,false_significance,True,ASSESSED,ASSESSED,BFA-001c
invalid_probability-0,invalid_probability,True,ASSESSED,ASSESSED,BFA-003c|BFA-001c
invalid_probability-1,invalid_probability,True,ASSESSED,ASSESSED,BFA-003c|BFA-001c
invalid_probability-2,invalid_probability,True,ASSESSED,ASSESSED,BFA-003c|BFA-001c
missing_fdr-0,missing_fdr,True,ASSESSED,ASSESSED,BFA-003|BFA-001c
missing_fdr-1,missing_fdr,True,ASSESSED,ASSESSED,BFA-003|BFA-001c
missing_fdr-2,missing_fdr,True,ASSESSED,ASSESSED,BFA-003|BFA-001c
missing_receipt-0,missing_receipt,True,MISSING_EVIDENCE,ASSESSED,BFA-001c
missing_receipt-1,missing_receipt,True,MISSING_EVIDENCE,ASSESSED,BFA-001c
missing_receipt-2,missing_receipt,True,MISSING_EVIDENCE,ASSESSED,BFA-001c
valid_limited-0,valid_limited,False,ASSESSED,ASSESSED,BFA-001c
valid_limited-1,valid_limited,False,ASSESSED,ASSESSED,BFA-001c
valid_limited-2,valid_limited,False,ASSESSED,ASSESSED,BFA-001c
valid_negative-0,valid_negative,False,ASSESSED,ASSESSED,BFA-001c
valid_negative-1,valid_negative,False,ASSESSED,ASSESSED,BFA-001c
valid_negative-2,valid_negative,False,ASSESSED,ASSESSED,BFA-001c
valid_positive-0,valid_positive,False,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
valid_positive-1,valid_positive,False,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
valid_positive-2,valid_positive,False,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
valid_table_presence-0,valid_table_presence,False,ASSESSED,ASSESSED,BFA-001c
valid_table_presence-1,valid_table_presence,False,ASSESSED,ASSESSED,BFA-001c
valid_table_presence-2,valid_table_presence,False,ASSESSED,ASSESSED,BFA-001c
wrong_design-0,wrong_design,True,ASSESSED,ASSESSED,BFA-001c
wrong_design-1,wrong_design,True,ASSESSED,ASSESSED,BFA-001c
wrong_design-2,wrong_design,True,ASSESSED,ASSESSED,BFA-001c
wrong_direction-0,wrong_direction,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
wrong_direction-1,wrong_direction,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
wrong_direction-2,wrong_direction,True,ASSESSED,ISSUE_FOUND,BFA-001c|BFA-008
wrong_result_hash-0,wrong_result_hash,True,ASSESSED,ASSESSED,BFA-001c
wrong_result_hash-1,wrong_result_hash,True,ASSESSED,ASSESSED,BFA-001c
wrong_result_hash-2,wrong_result_hash,True,ASSESSED,ASSESSED,BFA-001c
