case_id,family,invalid,status,accepted,high_or_blocker,finding_rule_ids,finding_severities,binding_status,binding_summary
absent_gene-0,absent_gene,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-014","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
absent_gene-1,absent_gene,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-014","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
absent_gene-2,absent_gene,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-014","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
causal_overclaim-0,causal_overclaim,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-008","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
causal_overclaim-1,causal_overclaim,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-008","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
causal_overclaim-2,causal_overclaim,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-008","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
changed_result-0,changed_result,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 f708dbca...)）。"
changed_result-1,changed_result,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 f708dbca...)）。"
changed_result-2,changed_result,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 f708dbca...)）。"
clinical_overclaim-0,clinical_overclaim,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-008","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
