case_id,family,paraphrase,developer_label,claim,rc8_status,rc8_accepted,rc8_binding_status,rc8_rule_ids,candidate_status,candidate_accepted,candidate_binding_status,candidate_rule_ids,root_cause,compatibility_or_control_action,expected_mechanism,mechanism_match,case_definition_sha256,receipt_sha256,metadata_sha256,result_sha256
absent_gene-0,absent_gene,0,INVALID,BN_NOT_IN_INPUT_20260908 is significantly upregulated after FDR correction in the supplied result.,NEEDS_REVISION,False,ISSUE_FOUND,"BFA-001c,BFA-014",NEEDS_REVISION,False,ASSESSED,"BFA-001c,BFA-014",Claim names a gene absent from the supplied DE table.,Fail closed through BFA-014.,BFA-014,True,eb1dc7b76b971b6611e96eb69af1259939a0698bbdafd17e13813eede7bacdd4,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,b4876ba88e366e333e48ed80f4d20541dcbee7dc88b054ab56d2f288a52eb136
absent_gene-1,absent_gene,1,INVALID,"For this completed analysis, bN_NOT_IN_INPUT_20260908 is significantly upregulated after FDR correction in the supplied result.",NEEDS_REVISION,False,ISSUE_FOUND,"BFA-001c,BFA-014",NEEDS_REVISION,False,ASSESSED,"BFA-001c,BFA-014",Claim names a gene absent from the supplied DE table.,Fail closed through BFA-014.,BFA-014,True,d0c686418f44a185e6ba566c9b707d538f326f3b72a6d920398a620b389b09e5,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,b4876ba88e366e333e48ed80f4d20541dcbee7dc88b054ab56d2f288a52eb136
absent_gene-2,absent_gene,2,INVALID,Our reported conclusion is: BN_NOT_IN_INPUT_20260908 is significantly upregulated after FDR correction in the supplied result.,NEEDS_REVISION,False,ISSUE_FOUND,"BFA-001c,BFA-014",NEEDS_REVISION,False,ASSESSED,"BFA-001c,BFA-014",Claim names a gene absent from the supplied DE table.,Fail closed through BFA-014.,BFA-014,True,7ff78e63c48fe8f1490d933df114f3b0dca67da9d2846f728e454245407a2390,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,b4876ba88e366e333e48ed80f4d20541dcbee7dc88b054ab56d2f288a52eb136
causal_overclaim-0,causal_overclaim,0,INVALID,These observational results prove that IL1RN causes disease.,NEEDS_REVISION,False,ISSUE_FOUND,"BFA-001c,BFA-008",NEEDS_REVISION,False,ASSESSED,"BFA-001c,BFA-008",Associational DE evidence is promoted to a causal claim.,Fail closed through BFA-008.,BFA-008,True,ac4c9b01fee004c7bf25bdef59de69a334b6e034000a60a88b45035b1bd5907e,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,b4876ba88e366e333e48ed80f4d20541dcbee7dc88b054ab56d2f288a52eb136
causal_overclaim-1,causal_overclaim,1,INVALID,"For this completed analysis, these observational results prove that IL1RN causes disease.",NEEDS_REVISION,False,ISSUE_FOUND,"BFA-001c,BFA-008",NEEDS_REVISION,False,ASSESSED,"BFA-001c,BFA-008",Associational DE evidence is promoted to a causal claim.,Fail closed through BFA-008.,BFA-008,True,52ee12d8f5b90f1739ce64dbc9ae04c8cb56eff52079881f255f3c5bf2a84c20,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,b4876ba88e366e333e48ed80f4d20541dcbee7dc88b054ab56d2f288a52eb136
causal_overclaim-2,causal_overclaim,2,INVALID,Our reported conclusion is: These observational results prove that IL1RN causes disease.,NEEDS_REVISION,False,ISSUE_FOUND,"BFA-001c,BFA-008",NEEDS_REVISION,False,ASSESSED,"BFA-001c,BFA-008",Associational DE evidence is promoted to a causal claim.,Fail closed through BFA-008.,BFA-008,True,e87fae2d62a91f71a7655a9344c1f8db6703304ad6a6f7818adee9e65fb2fe81,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,b4876ba88e366e333e48ed80f4d20541dcbee7dc88b054ab56d2f288a52eb136
changed_result-0,changed_result,0,INVALID,The supplied result table is unchanged from the recorded execution output.,BLOCKER_DETECTED,False,ISSUE_FOUND,"BFA-001c,BFA-013a",BLOCKER_DETECTED,False,ISSUE_FOUND,"BFA-001c,BFA-013a",The supplied result bytes no longer match the receipt hash.,Fail closed through BFA-013a.,BFA-013a,True,35bfa506bcac8f3683d36102a8137af38d07ecb394358427ca4ee224e53cbd20,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,f708dbcab64a1e16ebe4db90af0d69f4a6536d315d96e310062cb7717e102f4c
changed_result-1,changed_result,1,INVALID,"For this completed analysis, the supplied result table is unchanged from the recorded execution output.",BLOCKER_DETECTED,False,ISSUE_FOUND,"BFA-001c,BFA-013a",BLOCKER_DETECTED,False,ISSUE_FOUND,"BFA-001c,BFA-013a",The supplied result bytes no longer match the receipt hash.,Fail closed through BFA-013a.,BFA-013a,True,61fe30b7e8703f5720326869f0800e7a5b25519f21e14f5567bd6ff4e4ad5d6e,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,f708dbcab64a1e16ebe4db90af0d69f4a6536d315d96e310062cb7717e102f4c
changed_result-2,changed_result,2,INVALID,Our reported conclusion is: The supplied result table is unchanged from the recorded execution output.,BLOCKER_DETECTED,False,ISSUE_FOUND,"BFA-001c,BFA-013a",BLOCKER_DETECTED,False,ISSUE_FOUND,"BFA-001c,BFA-013a",The supplied result bytes no longer match the receipt hash.,Fail closed through BFA-013a.,BFA-013a,True,8b26452ae78818a819512073936fcbc240f1a7a28c7bf78bcd62d4b01062ff6e,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,f708dbcab64a1e16ebe4db90af0d69f4a6536d315d96e310062cb7717e102f4c
clinical_overclaim-0,clinical_overclaim,0,INVALID,IL1RN is a clinically validated diagnostic biomarker with proven clinical efficacy.,NEEDS_REVISION,False,ISSUE_FOUND,"BFA-001c,BFA-008",NEEDS_REVISION,False,ASSESSED,"BFA-001c,BFA-008",DE evidence is promoted to a clinical efficacy claim.,Fail closed through BFA-008.,BFA-008,True,1c2f2c4d7adc1d04dc804e5f341ea2cddc1c5c4c5eab5bdc88fdfc5acd3cab98,b2fc1075a72132d37ee5a7a852370d39f9e2a3ddff5835b91134f0a5d4e99662,dfbababc9b6f1ee0c435bcdcc4037ec9dcb73ae95aca6a9758de81073c85226e,b4876ba88e366e333e48ed80f4d20541dcbee7dc88b054ab56d2f288a52eb136
