编号,阶段,事项,完成标准,依赖,当前状态
R01,rc9前,固定范围与兼容合同,规范与运行时接受格式一致且有追踪,现有合同,待收尾
R02,rc9前,旧新版本与输入方式2x2对照,同一运行器与原输入且分别报告路径和版本效应,原54例冻结,未执行
R03,rc9前,结果真实重算与ZIP字节校验,直接从逐例输出计算且损坏控制可失败,现有输出,未完成
R04,rc9前,外部包空目录交付演练,修正相对路径并完整走通模板与评分,启动包,待完成
R05,rc9前,版本与历史评审分开更新,所有当前清单一致且旧评审不伪装为新证据,发布候选,未完成
R06,rc9发布,精确提交工程流水线,新提交全部规定检查通过并记录未运行项,R01-R05,未执行
R07,rc9发布,安装wheel复现,隔离环境合同与54例及控制通过,R06,未执行
R08,rc9发布,标签和公开资产验收,标签流水线成功且下载包摘要版本行为匹配,R07,未执行
P01,先导启动,真实独立人员与新任务,保管者与独立审阅者及任务来源真实登记,R08,尚无实际数据
P02,先导启动,冻结计划与开发重叠审核,研究来源和文件双层排重并外部保管摘要,P01,未执行
P03,先导启动,确认研究状态门和仲裁规则,空模板不得等于启动且分歧保留,R04,待设计
P04,先导执行,盲审两臂与完整成本,保留缺失失败并按冻结版本执行,P02-P03,未开始
C01,确认准备,版本修复与新冻结,需要修改时才rc10且先导归开发,P04,未开始
C02,确认准备,端点及规模预注册,优效与保留目标事先确定且研究来源留出,C01,未开始
C03,确认执行,独立任务与公平基线,聚类配对估计且完整报告两类错误和缺失,C02,未开始
G01,GA,具名支持激活与独立验收,满足GA_CRITERIA且有真实维护与用户证据,R08及真实验收,PROPOSED
M01,投稿,区分工程结果与确认主结果,论文主张全部绑定版本任务与分析,C03,未开始
M02,投稿,官方分区与费用核实,单位采用版本的大类一区证明及预算,作者机构,官方逐刊待核
M03,投稿,Genome Biology Software首投,关键主张有支持且归档和作者确认完整,M01-M02,暂不首投
